brand,country,medium,headline,industry
Canon,Japan,Print,anyone can be a star in front of the right camera,Electronics & Audio-Visual
,South Africa,Print,levis girls,"Apparel, Clothing, Footwear & Accessories"
Entreprises et environnement,France,Print,our garbage kill,Public interest & Non-profit
,China,TV & Cinema,a football fan wavers between two opposing teams and supports whoever thats winning which makes him breathless running between two bars the loyal fans found out about his infidelity but he never changes his mind on his favorite drinksuper at least one thing deserves your loyalty,Alcoholic drinks
,Brazil,Print,it is hard for a statue to live on the streets just imagine it for a kid,Public interest & Non-profit
,China,Print,instead of putting the sale price in a straightforward manner it uses a chinese saying of forever which phonetically means 99 forever 9900,"Apparel, Clothing, Footwear & Accessories"
Nokia,Singapore,Print,hear every detail,Electronics & Audio-Visual
Oreo,United States,TV & Cinema,milks favorite cookie,Food & Beverages
Döhler,Brazil,Print,dont let your embroidery run away choose döhler,"House, Garden & Pets"
Diesel,France,Print,fuel for life finally legalized the fragrance by diesel use with caution,Beauty & Health
,Poland,Print,48 years experience in handmade lingerie,"Apparel, Clothing, Footwear & Accessories"
Amnesty International,Germany,Print,lets bring injustice to light,Public interest & Non-profit
Thrifty,Australia,Ambient & Interactive,any size truck for any size load,Professional & Public services
Travelers,United States,TV & Cinema,insurance insynch,Financial & Legal services
Candie's,United States,Print,anywhere you dare,"House, Garden & Pets"
Reproquinol,,Print,the complete range of hormones and nutritional supplements for a better animal reproduction,Pharmaceutical
Confiserie Seidl,Germany,Print,all the nuts in the world in finest chocolate seidl confiserie,Food & Beverages
,Chile,Print,run with the heart,"Apparel, Clothing, Footwear & Accessories"
,Taiwan,Print,this little bit of yourself that you reveal allow others to catch a longer glimpse of you,"Apparel, Clothing, Footwear & Accessories"
,China,Print,higher altitude results higher purity from a farm on the plateau,Food & Beverages
Volkswagen,Argentina,Print,at every turn of your life,Automotive & Services
Way Beer,Brazil,Print,people have multiple styles ok we have many flavours of beer,Alcoholic drinks
Peugeot,France,Print,its father is a scooter its mother is a car peugeot bb10 emission 250m 4 seats,Automotive & Services
Premier Dermatology,United States,Print,uncertified hairstylists not as scary as uncertified dermotologists at premier dermatology board certified dermatologists provide your skin care at a medispa it could be anyone premier dermatology,Beauty & Health
Bronx,Brazil,Print,not everyone is born with that advantage some need to study,Education
,China,Print,battle for their attention allure is the best offence,"Apparel, Clothing, Footwear & Accessories"
,Taiwan,TV & Cinema,this tvc is very dramatica guy goes out on a motorbike to meet with a flood of bad lucka falling potbird shita satellitea naila holeto the mafia when he meets his loved onehe understands that his beautiful life is going to begin sohe signs up his first insurance policy for better protection manpeople sayyou should go ahead when you are a freshman of the societyhave you ever thought whether your birthday is a lucky day i am not a pessimistic guythere are seldom gifts fall,Financial & Legal services
Mercedes-Benz,Austria,Print,remembers the characteristics of the driver the multicontour seat with memory function,Automotive & Services
,China,Ambient & Interactive,street kids feed on garbage everyday,Public interest & Non-profit
Volkswagen,Germany,Print,the lane assist by volkswagen its alert when youre not,Automotive & Services
Mentos,Israel,Print,mentos now in gum,Food & Beverages
Pilot,Spain,Print,pilot extrafine,Office equipment
Detran RN,Brazil,Print,i never drink before driving  how far is the distance between what you say and what you do in transit be coherent be concious,Toys & Games
G2,India,Print,try catching our readers even glancing at the right hand side of the menu,Media & Publishing
RWE,Poland,Print,blue power fitted to your business,Industrial & Agricultural
QuitoFest,Ecuador,Print,rock is back quitofest 2011,"Culture, Recreation & Sport"
Bonfibra,Colombia,Print,give back joy to your digestion gummy candies with prebiotic fiber,Beauty & Health
Corona,United States,TV & Cinema,miles away  from ordinary,Alcoholic drinks
BritNoise,Paraguay,Print,you know their music you know their history,Media & Publishing
Koctas,Turkey,Print,falling prices for minor repairs,Retail & Distribution
World Wildlife Fund (WWF),China,Print,more animals need to be protected,Public interest & Non-profit
Latin American Film Institute,Brazil,Print,for many reasons we prefer small crews limited availability for the 1st semester,Education
hp - Hewlett Packard,China,Print,hp pavilion with internal photo scanning device offers more fun in creativity,Electronics & Audio-Visual
Shriram Cement,India,Print,unfortunately since 1987,Industrial & Agricultural
,Argentina,Print,there are more interesting problems than the ones of any used car carone guaranteed used cars,Automotive & Services
Play-Doh,South Africa,Print,the art of playing with your food,Toys & Games
Mapa,,Print,just a little prick the tale of a timid little man mapa protective gloves because hands are sensitive,Industrial & Agricultural
TD Bank,United States,Outdoor,art for trees a td forests project green spaces are the key to coloring our communities thats why td bank has teamed up with milliontreesnyc to help secue urban forests now and for future generations to learn more see all the artwork or purchase a piece visit tdfgorestsnyccom,Financial & Legal services
Muy Historia,Spain,Print,rosa parks the afro american woman that went to prison after refusing to give up her seat to a white man where martin ends and luther king begins,Media & Publishing
Volkswagen,Hungary,Outdoor,for the love of automobiles,Automotive & Services
,Belgium,Print,workers are not tools,Public interest & Non-profit
Fifth Third Bank,United States,Print,every purchase has a purpose now every purchase has a purpose helping fund breakthrough cancer research,Financial & Legal services
War Child,Canada,Cyber,camp okutta if your kids like video games theyll love real weapons,Public interest & Non-profit
KIA,Canada,Print,the 2014 kia soul with a powerful 10speaker infinity sound system,Automotive & Services
Pet Health Association,Switzerland,Print,your pharmacy or drugstore is now also an expert in pet health,Public interest & Non-profit
Mini,Italy,Print,sponsor of rome film fest,"Culture, Recreation & Sport"
Sécurité Routière,France,Outdoor,in the city there are not only damaged cars,Public interest & Non-profit
Risperdal,United Kingdom,Print,risperdal range because relapses are a living nightmare,Pharmaceutical
Imago,Croatia,Cyber,send seasons greetings in a good oldfashioned way by means of sending a greeting card that can be forwarded just like todays digital cards,Professional & Public services
Hornbach,Germany,TV & Cinema,how much madness are you made of,"House, Garden & Pets"
delhishomeless.org,India,Print,for some this is indoor advertising support homeless people,Public interest & Non-profit
McDonald's,Singapore,Print,the happy chapter find the hidden meaning between the lines and receive a free cheeseburger hidden character smile,Food & Beverages
,Belgium,Print,take the sting out of stains,"House, Garden & Pets"
AIDS Singapore,Singapore,Print,think first before you act,Public interest & Non-profit
Con Edison,United States,Print,the show cant go on if the lights dont three months of rehearsals two weeks of ticket sales one performance talk about pressure not just on the kids but on the electricity thats why con edison spends 2 billion a year improving its energy systems but if you ever do lose power please report the outage online at conedcom or call us at 180075coned and to learn more about our work backstage follow us on facebook or twitter,Industrial & Agricultural
Fishing Adventures,Romania,Print,we are celebrating along with all our readers on the occasion of ten billion magazines sold from fisherman to fisherman,Media & Publishing
,Brazil,Print,he whispered the music instead of singing it thats why he was listened to all over the world meet joão gilberto and other geniuses of bossa nova at desafinados sale,Retail & Distribution
Kino Pavasaris,Lithuania,Print,reborn in cinema,"Culture, Recreation & Sport"
Transamerica,Brazil,Print,​good music on the head makes the life lighter,Financial & Legal services
The New York Times,United States,TV & Cinema,expect the world,Media & Publishing
,Colombia,Print,bolivar home insurance,Financial & Legal services
Mazda,Isle of Man,Print,spot the threat in time,Automotive & Services
,China,Print,to highlight its proximity to various parts of towneach page talked about how little it would take to get therebut instead of minutes it used horse to represent one minute to coincide with the location horse bay left top one minute equals to one horsehow many horses do you need to go to park lslandfind out the tips in the following pages right top takes twelve horses twelve minutesto tsuen wan subway station heres a picture of prooffind it if you dont believe it le,Real estate
F-Secure,Finland,Print,is this what you do online besmarterthanjohncom,Electronics & Audio-Visual
Energizer,South Africa,Print,dont trust the dark 360 degree lighting,"House, Garden & Pets"
International Women's Day,,Cyber,theres a bit of women in every man so respect yourself,Professional & Public services
Ni Putes Ni Soumises,France,Print,accept violence under any circumstance,Public interest & Non-profit
Seagull Books,India,Print,read stories to tell stories,Retail & Distribution
Mouka,Nigeria,Print,restful night active day,"House, Garden & Pets"
Panasonic,Brazil,Print,wires are under extinction dvd theater panasonic now wireless,Electronics & Audio-Visual
World Wildlife Fund (WWF),Brazil,Print,september 21st national tree day,Public interest & Non-profit
BMW,United Kingdom,Print,celebrating 60 years of btcc,Automotive & Services
Bauker,Chile,Print,work at home build your freedom,"House, Garden & Pets"
,Belgium,Print,one organ donor can save 8 lives,Public interest & Non-profit
Coca-Cola,Denmark,Outdoor,a taste of life as it should be,Food & Beverages
McDonald's,China,TV & Cinema,just like jack the rippernow jack the dipper attacks people mysteriously too but his targets became the new sauces and the mcnuggets newspaper jack the dipper strikers at new asian sauces repotrerjack the dippera mysterious mcnugget loveris taking saucey dips into sauces everywhere customersthe dipper jackthai chili mayo lchiban curry malay satay singapore honey mustard no sauce is safe man the dipper jackso watch out the dippers about vo im lovin it,Food & Beverages
,,Ambient & Interactive,for some christmas is never merry,Public interest & Non-profit
Harbour Surfboards,United States,Outdoor,if my wife loved me as much as i love this board wed really have something,"Culture, Recreation & Sport"
Frisa,,Print,frisa is the size of your hunger,Food & Beverages
Discovery Channel,India,Print,even this wont save you,Media & Publishing
T-Mobile,Slovakia,Print,it sucks when you miss the beginning with magio tv you can return to any part of programme and enjoy the full experience,Media & Publishing
Cam,Italy,Print,who steal leaves in autumn cam the childs world,"Apparel, Clothing, Footwear & Accessories"
Metro Dairy,India,Print,cool it,Food & Beverages
IKEA,Germany,Print,the ikea assembly service,"House, Garden & Pets"
Capstar,Ecuador,Print,immediate relief from fleas,"House, Garden & Pets"
Mitsubishi,Brazil,Print,mitsubishi pajero full the icon of resistance is celebrating 30 years,Automotive & Services
,China,Print,use confidence to draw one stroke and pride to draw the other stroke be a confident and proud chinese person claimshow your concern to the needy todaythis print campaign appeared as consecutive pages,Public interest & Non-profit
,,Print,with one ad in the newspaper for the blind youll get the attention of 5000 readers,Media & Publishing
Latin Spots,Chile,Print,the best of latin american advertising in only one page,Media & Publishing
China Organ Procurement Organisation,China,Ambient & Interactive,recycling organs,Public interest & Non-profit
Mountain Goat,,Print,sorry guys time flies when youre babysitting yeast we need these little fellas happy because happy yeast give our beer that perfect aleness so we had to make the ad with a photo we found on the web this morning,Alcoholic drinks
Volkswagen,United Kingdom,TV & Cinema,incredible but true,Automotive & Services
Coca-Cola,China,TV & Cinema,documentary  go to icokecn on 18 apr to join the china beat call for action  come and join china beats game time  china beats cheering together,Food & Beverages
,China,Print,instant hair fall protection,Beauty & Health
Popchips,United Kingdom,Outdoor,be a bit good  you went to the gym to enquire  be a bit good  youve been running every day for the past one days be a bit good  you walk everywhere unless its overcast or raining be a bit good,Food & Beverages
Land Rover,Brazil,Print,freelander 2 with panoramic sunroof,Automotive & Services
Zoo Cologne,Germany,Print,happy easter,"Culture, Recreation & Sport"
World Wildlife Fund (WWF),Austria,Print,save the world with a few coins donate at wwwwwfat,Public interest & Non-profit
McDonald's,China,Print,luckily there is still happy meal,Food & Beverages
Volkswagen,Canada,Print,sure you can find less expensive parts — but at what cost volkswagenoriginal parts service accessories,Automotive & Services
,Bolivia,Print,you will never replace the air you take away from nature,Media & Publishing
Saint Gobain,,Print,sky unlimited,Industrial & Agricultural
Toshiba,United States,Print,46 is the new 42,Electronics & Audio-Visual
LG,India,Ambient & Interactive,billions of perfect colors on perfect black,Electronics & Audio-Visual
Marmara Park,Turkey,Print,for all fathers who always stand behind us… happy fathers day,Retail & Distribution
Marmite,United Kingdom,Outdoor,love it or hate it,Food & Beverages
KIA,Honduras,Print,change your ways buy a kia,Automotive & Services
5aSec,Poland,Print,dont spend your life ironing,Professional & Public services
Hard Rock Casino,Canada,Print,get more than you were looking for,"Culture, Recreation & Sport"
Down Under,Australia,Outdoor,australia v australia  nobody wins,Media & Publishing
Breeze Excel,Thailand,Direct Market,confidence to remove stains in 1 wash,"House, Garden & Pets"
Fost Plus,Belgium,Outdoor,litter belongs in the trash bin and nowhere else,Public interest & Non-profit
Savyolovsky Retail Centre,Russia,Print,haggle for your fairytale price,Retail & Distribution
New York Lottery,United States,Outdoor,rolling in it yeah that kind of rich new york lotterys powerball,Toys & Games
Senior Self Defence Academy,Belgium,Print,senior self defence academybe,Professional & Public services
Yubari Resort,Japan,Ambient & Interactive,no money but love,Transport & Tourism
Trindade,Brazil,Print,trindade portuguese restaurant its traditional its modern its cool,"Culture, Recreation & Sport"
La Curacao,El Salvador,Print,mix is an art,"House, Garden & Pets"
Hornbach,Germany,Miscellaneous,in every hut there is a home,Retail & Distribution
Burger King,Brazil,Print,its another story burger king,Food & Beverages
Lexus,Australia,Print,835w 17 speaker mark levinson sound system allnew lexus gs,Automotive & Services
Terra,Brazil,Print,dont let anyone break into your kids world terra parental control safe surfing for your children control access to websites monitors chatrooms terra,Electronics & Audio-Visual
Paladares Magazine,Colombia,Print,recipes for eating out without leaving home,Media & Publishing
,Czech Republic,Print,apply your french lessons to the most french place in prague,Education
CNN,Turkey,Print,cnn weather report 99 accurate,Media & Publishing
www.niceshop.com,Ecuador,Print,schedule your purchase now we accept all credit cards niceshopcom,Electronics & Audio-Visual
APAV,Portugal,Print,dont just stand there watching,Public interest & Non-profit
Copenhagen Underground Metro,Denmark,Outdoor,rush through town without stress,Transport & Tourism
,United States,Print,and to my children i leave  global warming is a choice flexyourpowercom,Public interest & Non-profit
Fridrih Mushrooms,Croatia,Print,found guilty for perfect execution,Food & Beverages
Levi's,China,Print,501 the original creator of jeans since 1853 on tshirt  independent but not alienated,"Apparel, Clothing, Footwear & Accessories"
World Wildlife Fund (WWF),Philippines,Print,70 of plastic ends up in the sea help at wwforgphdonate,Public interest & Non-profit
World War I Memorial Fund,United States,Print, they brought jazz to the french and fear to the germans copy 350000 african americans served in world war 1 over 800 never made it back contribute today at theirownmemorialorg and help us build a national ww1 memorial in washington dc so their heroism will live forever,Public interest & Non-profit
Schick,New Zealand,Outdoor,would you kiss you men get your free valentines day razor at facebookcomschicknz,Beauty & Health
The Railway Industry Association in Germany,Germany,Print,to make a career you better choose us,Industrial & Agricultural
,Ukraine,Print,worlds top ads are coming to a theater near you,Professional & Public services
Brigus Gold,Canada,Print,because necessities should never be mistaken for luxuries this holiday season brigus gold offices will be helping feed families in need by donating to local food banks,"Apparel, Clothing, Footwear & Accessories"
Universidad de Chile Football Club,Chile,Print,the lower text reads one single family,"Culture, Recreation & Sport"
,Thailand,Print,its not magic its mathematic smart brain mathematic school for kids,Education
Vancouver Convention Centre,Canada,Print,conventions should inspire theinspirationcentreca,Professional & Public services
Lexus,Singapore,Outdoor,the relentless pursuit of perfection,Automotive & Services
Skoda,United Kingdom,TV & Cinema,full of lovely stuff,Automotive & Services
Clarks,United Kingdom,TV & Cinema,for every kids there is a shoe that fits,"Apparel, Clothing, Footwear & Accessories"
Euro RSCG,China,Print,you need a more professional healthcare agency phone xuan yang  86 21 64675868 eurorscg life,Professional & Public services
,South Africa,Print,movies werent made with ads in them so well never show them that way,Media & Publishing
,China,Print,even it is not stright it still has its own value the society provides assistance to children suffering cerebral palsy the society has been providing education and training to children aged 06 suffering cerebral palsy help them to develop their potential,Public interest & Non-profit
Inov8,United Kingdom,Print,screw the shortcut,"Apparel, Clothing, Footwear & Accessories"
BMW,Sweden,Print,sheer driving pleasure,Automotive & Services
All For Blue,Greece,Print,every year 100000 marine creatures die from plastic entanglement sad but true rethink plastic save the oceans,Public interest & Non-profit
,China,Print,who says you wont feel drunk just by having one sip of red wine,"Apparel, Clothing, Footwear & Accessories"
Portonave,Brazil,Print,now its easy to learn english,Education
Ramesh & Co.,India,Print,time paints a picture,Electronics & Audio-Visual
Nike,China,TV & Cinema,four bike couriers stopped in front of a red light sizing up each other they all unload their goods and compete as if they are professionals they keep riding even when they encounter cow dunks a slice of life to see the spirit of 2008 beijing olympics has already seeped into peoples daily life  super in the mood for sports,"Apparel, Clothing, Footwear & Accessories"
Mountain Dew,Romania,Print,extreme meets film,Food & Beverages
McDonald's,United States,Print,wake up with a premium roast coffee,Food & Beverages
,Italy,Print,a world cut out for you,Food & Beverages
Inlingua,,Print,improve diction with conviction,Education
,,Print,dont let anyone break into your kids world terra parental control safe surfing for your children,Internet sites & Services
Mercedes-Benz,Germany,TV & Cinema,the best or nothing,Automotive & Services
Reporters Without Borders - Reporters Sans Frontières (RSF),Belgium,Print,some countries treat journalists like you treat a pen,Public interest & Non-profit
RSPCA,Australia,Print,pets arent toys please think before you buy your child a pet,Public interest & Non-profit
Pepsi,Bolivia,Print,ho ho ho merry christmas,Food & Beverages
Gatos,Brazil,Print,one life for a biscuit gatos,"House, Garden & Pets"
Sauter,France,Print,time required to cook white sausages with truffles time required to develop love handles time required to accept them save time on cooking induction hobs with boost system sauter,"House, Garden & Pets"
,Romania,Print,we are not a vegetarian species,Food & Beverages
Chaudfontaine,Belgium,TV & Cinema,connoisseurs prefer chaudfontaine,Food & Beverages
International Radio Festival,Switzerland,Outdoor,listen to sounds from down under welcome radio kiss fm from melbourne at the international radio festival zurich,"Culture, Recreation & Sport"
Ray-Ban,United States,Print,never hide rare prints rayban genuine since 1937,"Apparel, Clothing, Footwear & Accessories"
Butterfly Tourism,Romania,Print,japan discover another you,Transport & Tourism
,Thailand,Print,cheat death quit smoking,Food & Beverages
Esmaltec,Brazil,Print,a top detail makes all the difference new murano inox top control,"House, Garden & Pets"
Portfolio Night,,Cyber,not the right moment,"Culture, Recreation & Sport"
,Brazil,Print,we selected only the best spots for your trip,Transport & Tourism
Discovery Channel,,Print,born edward michael grylls earned a black belt in shotokan karate as a teenager member of the united kingdom special forces lived through a broken back after a freefall parachuting accident 18 months later became youngest brit to summit mt everest endured 125 degree and 55 degree temperatures survived in all 7 continents returned to filming 2 months after breaking his shoulder in antarctica has sons named jesse marmaduke and huckleberry consumes raw zebra rats piranha and water fr,Media & Publishing
Pentax,China,Print,waterproof digital camera,Electronics & Audio-Visual
,United States,Print,with 8 peaks and 3700 acres youll feel like well you get the picture,"Culture, Recreation & Sport"
SOS,Singapore,Print,life is great i hate myself the signs are there if you read them help us save a life before its too late,Public interest & Non-profit
Prince Jewellery,India,Print,ancient secrets antique jewellery exhibition,"Apparel, Clothing, Footwear & Accessories"
Absolut Vodka,France,Print,in an absolut world,Alcoholic drinks
Lexus,South Africa,Print,dont let it sneak up on you,Automotive & Services
Lexmark,Colombia,,the less you see a printer as a printer the more it will become sustainable for the planet oxygenate your mind,"House, Garden & Pets"
,Taiwan,Print,no matter how good a washing machine can clean it cannot clean someones memory,Electronics & Audio-Visual
Amnesty International,Germany,Print,you can switch it off they cant,Public interest & Non-profit
Red Cross,Colombia,Print,one life saves another one donate blood,Public interest & Non-profit
Honda,Brazil,Print,do you remember your dream from 2015 it is nearly new,Automotive & Services
Starburst,United Kingdom,Print,starburst flavour morphs the chews that change their flavour,Food & Beverages
Sociedade do Notícias,Mozambique,Print,dont let malaria take the ones that you love at bedtime always use a mosquito net it may save you and your family,Public interest & Non-profit
Metro,Spain,TV & Cinema,there is a place in madrid where you can move without limits,Transport & Tourism
Halter Bonbons,Switzerland,Outdoor,halloween doesnt have to be that horrifying,Food & Beverages
,Colombia,Print,furnitures and everything else you need find it at the classified ads,Media & Publishing
,United States,Print,friends arent disposable if your friend is doing drugs or drinking bring them back abovetheinfluencecom,Public interest & Non-profit
Juvenile Diabetes Research Foundation,Australia,Print,20000 painful needle pricks with constant insulin shots and minimum of four sugarlevel tests a day thats what 10 year old sophie a girl with type 1 diabetic has had to endure since being diagnosed and only a cure can make it stop help us find one scan the qr code or visit wwwjdrforgau,Beauty & Health
,Norway,Print,the world would look better if everyone used a real plumber,Professional & Public services
,,Cyber,synopsis conception et réalisation des formats web événementiels skyrockcom et allociné 1 mini jeu interactif «  inads » en 300x250 et 300x600 et affichage digital sur 500 écrans à paris stratégie un format interactifmini jeu en rotation générale sur les sites de divertissement pour créer de lengagement en format pavé et grand angle  linternaute incarne un géant et participe à un lancer darbre gigantesque   des habillages événementiels sur skyrock et allociné qui mettent en avant la bande annonce intégrale une campagne daffichage digital de grande ampleur à paris avec 2 créations impactantes en rotation sur 500 écrans pour  toucher le grand public les créations sont diffusées  sur des écrans 1 face2 face3 face et 4 faces et ,"Culture, Recreation & Sport"
The New York Times,United States,Print,make sense of our times,Media & Publishing
Corona,United States,TV & Cinema,miles away from ordinary,Alcoholic drinks
Pacifico,Peru,Print,if you car doesnt drive alone call us replacement driver 01 4151515,Professional & Public services
Clarins,France,Promotion & Event,clarinsmen longlife to the men skin,"House, Garden & Pets"
Sunlight,Indonesia,Print,1 tsp sunlight,Beauty & Health
ExxonMobil,United States,TV & Cinema,taking on the worlds toughest energy challenges,Industrial & Agricultural
Pepsi,France,TV & Cinema,new pepsi grip easy to hold,Food & Beverages
Pink Ribbon,,Print,udders of the netherlands need your attention,Public interest & Non-profit
Legambiente,Italy,Print,stop hiding problems lets start by participating the 2526 and 27 of september in puliamo il mondo live sustainably,Public interest & Non-profit
Cyprus Airways,,Print,every smile has its moment,Transport & Tourism
Farmen,Norway,Print,things werent that easy a hundred years ago  what happens when fourteen men and women are sent 100 years back in time  watch the farm on tv2 mondays thursdays and saturdays premiers tonight at 8 pm,Media & Publishing
Bloodbuster,Italy,Print,believe us cinema can still astonish you,Media & Publishing
Intra,Brazil,Print,a slow internet can kill your series,Electronics & Audio-Visual
,China,Print,the new taste of chinalipton chinese teabag,Food & Beverages
VHV,Germany,Print,did your pet do something bad,Financial & Legal services
Underground Fitness,United States,Print,burpee burpee a fluid motion that involves diving down to the ground then explosively pushing up pulling the feet in then jumping and clapping your hands above your head different results,"Culture, Recreation & Sport"
Eesti Statoil,Estonia,Outdoor,fast food for car,Professional & Public services
RemaxVip,Turkey,Print,you enjoy we are doing,Real estate
Accademia Teatro alla Scala,Italy,Print,i cant get no satisfaction  since 1778,"Culture, Recreation & Sport"
Audi,United Kingdom,TV & Cinema,weve unboxed the box the new streamlined audi q5,Automotive & Services
Aguila Amstel,Spain,TV & Cinema,100 soccer 100 taste,Alcoholic drinks
,United States,Print,14000 bottles of wine 50 varieties of cheese somewhere an italian village is wishing they were so lucky,Food & Beverages
,Chile,Print,we make your friends envy you and your enemies hate you nosotrasquenosqueremostantocl,Media & Publishing
Grafa,Malaysia,Print,the secret to longevity is a crotch on a saddle pick up a bicycle then ride like hell,Professional & Public services
Vespa,Romania,Print,vespa,Automotive & Services
,Sweden,Print,free bodyjam sessions saturday february 17th between 1216,"Culture, Recreation & Sport"
Tahoe North,United States,Outdoor,turn around because fresh powder waits for no one,Transport & Tourism
Nissan,United Arab Emirates,Print,lane departure warning,Automotive & Services
Primalex,Czech Republic,Print,brings your wood to life,Industrial & Agricultural
JBS Underwear,Denmark,Print,men dont want to look at naked man jbs mens underwear,"Apparel, Clothing, Footwear & Accessories"
,Brazil,Print,fight hunger by fighting waste,Public interest & Non-profit
The National lottery UK,United Kingdom,Outdoor,lotto what would you do,Toys & Games
Coca-Cola,United States,TV & Cinema,taste zero calories,Food & Beverages
Cathay Pacific Airways,China,TV & Cinema,a couple travels abroadthe girl shops like crazy the guy wants her to stop fortunately the airline calls to remind them about the filght so they wont miss it the spot shows how caring the airline is mstop wshoppingshoppingshopping mstop voa reminder message not only helps you save time wshopping mstop wshopping mstop vowe do all the best for you down to the minor details superfly through life an unusual feeling,Transport & Tourism
Orange,France,Outdoor,skip musical styles seamlessly music max 13 millions tracks avilable for download,Internet sites & Services
Jaguar,China,Print,introducing the new v8 jaguar,Automotive & Services
SEAT,,Print,seat alhambra now with integrated dvd,Automotive & Services
Salvation Army Thrift Stores,United States,Print,discover something old,Public interest & Non-profit
The Economist,United Kingdom,Outdoor,isnt time to abolish the birth penalty,Media & Publishing
The Gazette,Canada,Print,followthegameswithus,Media & Publishing
Turkish Cargo,Turkey,Print,who likes a spoilt carrot well nobody thats why we sort store and deliver all sorts of perishable goods to more than 100 destinations all over the world fast and fresh everyday,Professional & Public services
,Belgium,Print,dills for a fast digestion,Pharmaceutical
Clearasil,Germany,Print,tough on pimples,Beauty & Health
Suva Accident Insurance,Switzerland,Print,personal assistance after an accident,Financial & Legal services
,,Print,dental implant and prosthesis,Beauty & Health
MasterCard,United Kingdom,TV & Cinema,there are some things money cant buy for everything else theres mastercard,Financial & Legal services
,India,Print,get worldready,"Apparel, Clothing, Footwear & Accessories"
U.S. Census Bureau,United States,Print,i am proud of my people i am proud of my heritage i will voice my pride,Public interest & Non-profit
